TUDNIVALÓK	TUDNI+VALÓ(K)
elvégezni	elvégezni
Fevaxyn	Fevaxyn
Pentofelt	Pentofelt
normalizálódás	normalizálódás
reciproka	reciproka
nőgyógyászati	nő+gyógyászat|i
ortopédsebészeti	ortopéd+sebészet|i
coronaria	coronaria
műtétek	műtétek
területén	területén
végezték	végezték
preoperatív	preoperatív
eseteket	eseteket
fogamzásgátlószert	fogamzás+gátló+szer(t)
talidomidot	talidomidot
Posaconazole	Posaconazole
Epivir-	Epivir-
vérmintáiban	vér+mintÁ(iban)
vérvétel	vér+vétel
magasabbnak	magasabbnak
húgysav	húgysav
Farmakodinámiás	Farmakodinámiás
tulajdonságok	tulajdonságok
biztonságosságára	biztonságosságára
engednének	engednének
következtetni	következtetni
naponkénti	naponkénti
bevételével	bevételével
romlásával	romlásával
Ribavirin	Ribavirin
kiszerelésekben	kiszerelésekben
Braille-	Braille-
feltüntetése	feltüntetése
felmentve	felmentve
standard	standard
megszűnnek	megszűnnek
Hypoglykaemia	Hypoglykaemia
jogszabályokkal	jog+szabály(okkal)
összhangban	össz+hang(ban)
klasszikus	klasszikus
sertéspestis	sertés+pestis
felszámolására	felszámolására
Oldószer	old|ó+szer
benzil-	benzil-
benzalkónium-	benzalkónium-
bizonyítására	bizonyítására
végezhető	végezhető
adekvát	adekvát
pótlása	pótlása
kezdődött	kezdődött
antitestek	anti+test(ek)
meggátolják	meggátolják
beépüljön	beépüljön
szervezetben	szervezetben
sejtekbe	sejtekbe
ADENURIC	ADENURIC
emelkedhet	emelkedhet
panaszai	panaszai
súlyosbodhatnak	súlyosbodhatnak
húgysavkristályok	húgy+sav+kristály(ok)
ízületeiben	ízületeiben
veséiben	veséiben
következőkben	következőkben
sorolunk	sorolunk
DULOXETINE	DULOXETINE
BOEHRINGER	BOEHRINGER
INGELHEIM	INGELHEIM
docetaxel-	docetaxel-
körömelváltozások	köröm+elváltozás(ok)
fiatalabbaknál	fiatalabbaknál
Micardisról	Micardisról
gyógyszerre	gyógy+szer(re)
Trocoxil	Trocoxil
adagolását	adagolását
azonnal	azonnal
tanácsot	tanácsot
állatorvostól	állat+orvos(tól)
razagilin	razagilin
irreverzibilis	irreverzibilis
striatumban	striatumban
dopamin	dopamin
extracelluláris	extracelluláris
összetevőjére	összetevőjére
arthritises	arthritises
spondylitis	spondylitis
ankylopoeticában	ankylopoeticában
plakkos	plakkos
psoriasisos	psoriasisos
bőrében	bőrében
patológiás	patológiás
szabályozott	szabályozott
gyulladást	gyulladást
serkentő	serkentő
molekulahálózat	molekula+hálózat
közvetíti	közvetíti
Óvatosan	Óvatosan
pangásos	pangásos
szívelégtelenségben	szív+elégtelenség(ben)
kezelnek	kezelnek
Avastin-	Avastin-
RISPERDAL	RISPERDAL
lenyelnie	lenyelnie
cidofovir	cidofovir
vizsgálni	vizsgálni
vannak-	vannak-
kockázatának	kockázatának
Aclasta	Aclasta
csontok	csontok
kórjának	kórjának
alumínium-	alumínium-
alumínium	alumínium
bliszter	bliszter
csomagot	csomagot
kartondoboz	karton+doboz
bliszterenként	bliszterenként
tablettával	tablettával
abakavir	abakavir
kombinációjának	kombinációjának
karcinogén	karcinogén
potenciálját	potenciálját
Vesekárosodás	Vese+károsodás
vesetranszplantáció	vese+transzplantáció
Karvezidet	Karvezidet
vesefunkciójú	vese+funkció(jú)
húgysavszint	húgy+sav+szint
rendszeres	rendszeres
ivabradin	ivabradin
adagjáról	adagjáról
kimutatták	kimutatták
terheléses	terheléses
paramétereit	paramétereit
hatásosan	hatásosan
eredményeinek	eredményeinek
analízise	analízise
bizonyított	bizonyított
tartóssága	tartóssága
Majmoknál	Majmoknál
változások	változások
hatásával	hatásával
megnyúlásán	megnyúlásán
hemoglobin	hemoglobin
vörösvérsejt	vörös+vér+sejt
hematokrit	hematokrit
reticulocyta	reticulocyta
levetiracetám	levetiracetám
szindrómák	szindrómák
myoclonusos	myoclonusos
görcsrohamokkal	görcs+roham(okkal)
idiopátiás	idiopátiás
generalizált	generalizált
epilepsziában	epilepsziában
Izgatottság	Izgatottság
deperszonalizáció	deperszonalizáció
emocionális	emocionális
labilitás	labilitás
Kenterát?	Kenterát?
ZYPADHERA	ZYPADHERA
egyénen	egyénen
egyének	egyének
eltérésekkel	eltérésekkel
szisztematikus	szisztematikus
tesztet	tesztet
lehetőleg	lehetőleg
Törzskönyvezett	törzs+könyv(ezett)
megnevezés	megnevezés
fehérjekötődést	fehérje+kötődés(t)
mutatták	mutatták
antiviralis	antiviralis
átlagosan	átlagosan
jelenlétében	jelenlétében
cetirizin-	cetirizin-
abbahagyják	abbahagyják
visszanyeri	visszanyeri
hisztamin	hisztamin
reaktivitását	reaktivitását
felfüggesztette	felfüggesztette
írásbeli	írásbeli
eljárást	eljárást
felkérte	felkérte
maradékanyagokra	maradék+anyag(okra)
beterjesztés	beterjesztés
értékelésekor	értékelésekor
vizsgálja	vizsgálja
szeptember	szeptember
véleményt	véleményt
emelhető	emelhető
adhatják	adhatják
fecskendőn	fecskendőn
jelölésig	jelölésig
inhibitorai	inhibitorai
fokozhatják	fokozhatják
darifenacin	darifenacin
biztonságos	biztonságos
ellenjavallt	ellen+javallt
tételek	tételek
Lederle	Lederle
eelőfordulhat	eelőfordulhat
Viagra-	Viagra-
Bristol-	Bristol-
